"parameter","median","lower","upper","Rhat","ESS"
"d13CO2_sigma",0.0999634541397721,0.0998085215742967,0.0999986631868485,0.999934412719083,24322.9721559072
"GMST_sigma",0.499621887750939,0.497962115637835,0.499986807457703,0.999933337141953,24000
"BWT_sigma",0.486245344909689,0.440265913809894,0.499467108487832,1.00006610975424,14305.3245446832
"cc_co2_constant1",12.0619504655474,11.8274413880237,12.2246389961569,1.00000814334029,24000
"cc_co2_coeff1",0.139993149015658,0.139963885443558,0.139999749809438,0.999950226830429,24000
"asd",1.01372615893245,0.619978746044363,1.40935669261035,1.00000862015301,23974.8413202769
"bpump",2.16912429918289,1.58632947267532,2.74962223040425,1.00042221906864,20670.7526049925
"remin",1.1524893410121,0.630185603752012,1.65835571877828,1.0001280133427,23183.1176795448
"f_co3",0.0029816154790234,0.000104393340018871,0.0145563977488694,1.00532179660543,514.238673625152
"f_carbacid",0.00476200699475284,0.000277351191568743,0.0132621431086798,1.00365672668263,927.780329332953
"Abf",4.33313653035671,3.67476254889241,4.99795536531466,1.00025100793528,16541.5742083921
"Asurf",1.01372615893245,0.619978746044363,1.40935669261035,1.00000862015301,23974.8413202769
"d13CO2_level",-6.77997860260107,-7.62937276850902,-5.88106922432475,1.42741115325046,137.103470616343
"bf.nsb_mean",0.382826066409951,-0.0657532749290285,0.829286429646198,1.00009442365984,23561.6512551335
"pf.nsb_mean",-0.573627704302099,-0.885541948696872,-0.268464283696224,1.00003371174238,20280.7882938319
"brach.nsb_mean",0.297242265195804,-0.0132761039883886,0.60060108569641,0.999997972214061,20140.9569842553
"bivalve.nsb_mean",-0.555855240551234,-0.865950448997235,-0.250587250927401,0.999993744409811,20084.0179555659
"amm.nsb_mean",1.83871030140127,1.52072780693733,2.1526034807782,1.00001416252083,19878.6749843185
"bel.nsb_mean",1.87856712259316,1.56692239222155,2.18435676792686,0.999996889808315,20090.5641677503
"micrite.nsb_mean",-0.3539530000851,-0.707590760721313,-0.00423153564078687,1.00028501764635,16248.9337340188
"bulk.nsb_mean",0.588296107287127,0.277289398929935,0.89122524433116,1.0000030990566,20135.197974897
"bulk_sr.nsb_mean",1.57344982311087,1.13673355080219,1.99788529481242,1.00006930515384,17101.5100819466
"bulk_marg.nsb_mean",0.929077357794038,0.61743234077782,1.23445610985296,0.999996210227751,20104.2476506329
"bf.nsb_tau",994390.314944678,937586.126491535,1061487.79521857,1.02199944324173,72.311324650136
"pf.nsb_tau",995292.587804779,937172.276271237,1065876.05630361,1.25480908625196,109.227656191272
"brach.nsb_tau",994891.957416312,940043.802782692,1055023.08550649,1.13104936665267,100.617946480821
"bivalve.nsb_tau",1000273.53478616,940047.702651424,1055697.86093851,1.03925529139057,293.064950908058
"amm.nsb_tau",998815.081635186,936388.669465679,1059400.64561597,1.07900591490532,131.45866618266
"bel.nsb_tau",995760.405913294,936741.290916505,1066908.44635737,1.04308244099848,139.27415916332
"micrite.nsb_tau",1001554.65233497,940680.839152979,1061325.68198969,1.03375832417432,105.848053039346
"bulk.nsb_tau",996222.918696045,941502.306956005,1058704.37527366,1.0384597444675,81.3678292993443
"bulk_sr.nsb_tau",999375.449003343,926763.163870707,1061338.67319187,1.10572649499633,153.525572375188
"bulk_marg.nsb_tau",997604.329944279,938244.930463344,1057571.28928767,1.01166586195229,234.562838911751
"bf.archive_level",-11.5023546212548,-12.1653421116645,-10.6844369990523,1.9618824276414,31.9262841750002
"pf.archive_level",4.82527973570197,4.19310444867667,5.63107023836597,2.03896463302815,18.278671510442
"brach.archive_level",3.95518391599459,3.32350118094055,4.75852212446168,2.04393529248668,22.5719105433497
"bivalve.archive_level",4.80850171703771,4.17443668954574,5.60827028572602,2.03886518619472,22.3072683700234
"amm.archive_level",2.41521209949745,1.77955420207465,3.20682715482684,2.01262555495218,24.4852234562135
"bel.archive_level",2.37301837431245,1.74291767154735,3.17321288055148,2.03653847192815,23.4014118686864
"micrite.archive_level",4.60833948007423,3.91546879356761,5.42031179611938,1.69753632357822,65.8819834588819
"bulk.archive_level",3.6634206493903,3.03176481838885,4.46453092301942,2.04356856349902,21.0423347101519
"bulk_sr.archive_level",2.68573009580047,1.96902588119365,3.47640713805108,1.69224798276014,58.1562163906218
"bulk_marg.archive_level",3.3228174739051,2.69121423615693,4.12232823315613,2.03698570564657,23.5243535958775
