"run.profile","parameter","median","lower","upper","Rhat","ESS"
"main","bulk.archive_level",3.6634206493903,3.03176481838885,4.46453092301942,2.04356856349902,21.0423347101519
"main","bulk_sr.archive_level",2.68573009580047,1.96902588119365,3.47640713805108,1.69224798276014,58.1562163906218
"main","bulk_marg.archive_level",3.3228174739051,2.69121423615693,4.12232823315613,2.03698570564657,23.5243535958775
"gmst_scotese","d13CO2_sigma",0.0999623637994115,0.099801198636693,0.0999986426957873,1.00008038728075,24332.8459047076
"gmst_scotese","GMST_sigma",0.499630166216587,0.498041512784876,0.499985781628226,1.00000620588864,23183.4880837136
"gmst_scotese","BWT_sigma",0.475764240193651,0.407627720513403,0.498941305663639,1.00030794062203,5757.05562747813
"gmst_scotese","cc_co2_constant1",12.0317576514629,11.8012622638888,12.2164429170625,1.00004858313046,24072.3009747639
"gmst_scotese","cc_co2_coeff1",0.139993274867124,0.13996414811435,0.139999756228561,1.00007558129499,24000
"gmst_scotese","asd",1.01388496717256,0.62178405049267,1.40665588196765,1.0000235106403,24000
"gmst_scotese","bpump",1.83996071501318,1.25915012639798,2.41744257396228,1.00108286129685,12112.6453501602
"gmst_scotese","remin",0.960393783014181,0.448582614341289,1.47085562061606,1.00051417038548,21856.5222015317
"gmst_scotese","f_co3",0.00326935346977189,0.000124818703574296,0.0173984150068393,1.00529613189208,382.903489619585
"gmst_scotese","f_carbacid",0.00545624314301896,0.000339435293496083,0.0139414805962476,1.00357739658455,883.512983062257
"gmst_scotese","Abf",3.81032843189312,3.14938733298487,4.49356382233571,1.00182296261154,7707.50973791873
"gmst_scotese","Asurf",1.01388496717256,0.62178405049267,1.40665588196765,1.0000235106403,24000
"gmst_scotese","d13CO2_level",-7.64925580116682,-8.46788782063154,-6.71622210717261,1.50341721217273,417.236030834204
"gmst_scotese","bf.nsb_mean",0.247745118611323,-0.195170653324263,0.695665017178075,1.00008382909347,22816.46830361
"gmst_scotese","pf.nsb_mean",-0.506303052842978,-0.815063555218831,-0.196355195507623,1.00032008194551,19460.8294804685
"gmst_scotese","brach.nsb_mean",0.352908540874186,0.0438134209419152,0.663578167770107,1.00020883943142,18888.5318863925
"gmst_scotese","bivalve.nsb_mean",-0.49934348090078,-0.808861774942224,-0.18793797472924,1.00019958875605,19501.0264368456
"gmst_scotese","amm.nsb_mean",1.89632318946772,1.58075617234485,2.21570545401395,1.00018259983435,19721.0426669323
"gmst_scotese","bel.nsb_mean",1.93577418631765,1.62542172383843,2.24547680800893,1.00022014119319,19442.7877187117
"gmst_scotese","micrite.nsb_mean",-0.318527539902971,-0.666893449725567,0.0332091323458682,1.00012530738239,15481.6590388657
"gmst_scotese","bulk.nsb_mean",0.645466221566269,0.337352429913142,0.957270642185868,1.00019683322429,19296.7401402402
"gmst_scotese","bulk_sr.nsb_mean",1.62912761988355,1.20332285266788,2.05267339117827,1.00003619990638,17486.4004465893
"gmst_scotese","bulk_marg.nsb_mean",0.984892584736152,0.675823862387501,1.29722318050977,1.0002660112284,19005.9263644127
"gmst_scotese","bf.nsb_tau",995752.919622593,936740.326611989,1056176.15510547,1.02915908308382,127.568293601419
"gmst_scotese","pf.nsb_tau",993196.962812834,936109.277826183,1054981.52577308,1.16505182582657,69.988350731475
"gmst_scotese","brach.nsb_tau",1000350.4160421,938241.960869682,1067266.37896441,1.10006639703441,219.495329840484
"gmst_scotese","bivalve.nsb_tau",995185.15267026,934262.025585708,1055135.5791377,1.08615333564092,82.3625053590347
"gmst_scotese","amm.nsb_tau",1004259.24209821,946377.313243414,1061118.34310851,1.05200783455607,186.564367465128
"gmst_scotese","bel.nsb_tau",998947.215763517,931763.805667204,1070037.27187781,1.03446551921761,137.945793490602
"gmst_scotese","micrite.nsb_tau",998435.0403404,946208.315229098,1055993.0442332,1.03789318535896,134.600336944319
"gmst_scotese","bulk.nsb_tau",1000855.26970402,942925.766519673,1058914.53552221,1.08653770134753,78.5206355925288
"gmst_scotese","bulk_sr.nsb_tau",1000133.97486249,937441.887390553,1056551.8695662,1.07367666811461,162.455434447194
"gmst_scotese","bulk_marg.nsb_tau",999175.145391327,939340.758340547,1059732.84351985,1.00747438236273,446.667312679366
"gmst_scotese","bf.archive_level",-11.759189535399,-12.2883228923296,-10.9748141339248,2.12057338469863,35.9278421059663
"gmst_scotese","pf.archive_level",3.80665060072527,3.23547257709755,4.58776369336679,2.15919015877333,28.7696355097434
"gmst_scotese","brach.archive_level",2.94813880547265,2.36584858769623,3.72079207117657,2.16120159741076,31.8049894792275
"gmst_scotese","bivalve.archive_level",3.79950048212023,3.21606896498898,4.57486815997731,2.1565212181995,30.8249962775765
"gmst_scotese","amm.archive_level",1.40428961181279,0.82585233931335,2.18635580367398,2.12126009769472,30.0127663775833
"gmst_scotese","bel.archive_level",1.36479930739762,0.780256037106616,2.1395490037894,2.15493916986395,31.1312791597834
